iter	RMSE
0	13.76824872
1	12.92366183
2	12.11509823
3	11.35627741
4	10.7018257
5	10.16753846
6	9.645851338
7	9.193286995
8	8.796752712
9	8.385236601
10	8.024012849
11	7.730247474
12	7.487673704
13	7.227595095
14	7.002938658
15	6.820630514
16	6.647334975
17	6.49343881
18	6.342839544
19	6.225373219
20	6.128168724
21	6.034734452
22	5.941769132
23	5.858939027
24	5.782265521
25	5.728101272
26	5.661487385
27	5.608793252
28	5.555057549
29	5.509305299
30	5.462541653
31	5.425769085
32	5.385367448
33	5.354928025
34	5.333157572
35	5.300982394
36	5.280616973
37	5.261718932
38	5.246063418
39	5.220806249
40	5.199972052
41	5.181660475
42	5.165872829
43	5.157236749
44	5.136323474
45	5.116730285
46	5.101015301
47	5.076834897
48	5.067762776
49	5.053785554
50	5.038800303
51	5.019663646
52	5.007598842
53	4.98876141
54	4.978538841
55	4.968998531
56	4.955308164
57	4.943049244
58	4.921549323
59	4.915889537
60	4.897573692
61	4.881696019
62	4.866873263
63	4.857858854
64	4.845098198
65	4.838561947
66	4.82891698
67	4.818631283
68	4.802516829
69	4.792456973
70	4.785248941
71	4.777572207
72	4.772562161
73	4.761593238
74	4.74620898
75	4.741456244
76	4.736416813
77	4.726538118
78	4.710646418
79	4.695536499
80	4.688092434
81	4.673043025
82	4.657559354
83	4.648336615
84	4.642088559
85	4.624537808
86	4.611882063
87	4.603841809
88	4.592824109
89	4.580976848
90	4.571456898
91	4.56149024
92	4.552834335
93	4.545427001
94	4.533654359
95	4.528233974
96	4.52494853
97	4.520249899
98	4.50743006
99	4.494170869
