iter	Passed	Remaining
0	1	109
1	2	117
2	3	103
3	3	94
4	4	87
5	5	83
6	5	79
7	6	77
8	7	74
9	8	72
10	8	70
11	9	70
12	10	69
13	11	67
14	11	65
15	12	64
16	12	62
17	13	61
18	14	60
19	14	59
20	15	59
21	16	59
22	17	59
23	18	58
24	19	57
25	20	57
26	20	56
27	21	55
28	22	54
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	33	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
